DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,VITESSE_VENT_MAX_KMH,TEMPERATURE_MATIN_C,TEMPERATURE_MIDI_C,TEMPERATURE_SOIREE_C,PRECIP_TOTAL_DAY_MM,HUMIDITE_MAX_POURCENT,VISIBILITE_MOYENNE_KM,PRESSION_MAX_MB,COUVERTURE_NUAGEUSE_MOYENNE_PERCENT,INDICE_CHALEUR_MAX_C,POINT_ROSEE_MAX_C,TEMP_VENT_MAX_C,CODE_METEO_MATIN,CODE_METEO_MDI,CODE_METEO_SOIR,NEIGE_TOTAL_MM,UV_INDEX,SOLEIL_HEURE
2019-03-07,13,9,30,9,10,9,4.1,81,8.125,1012,59.375,13,7,5,296,293,116,0,1,10.1
2019-03-08,12,7,16,5,10,9,0.8,80,7.5,1023,33.125,12,5,4,176,116,116,0,1,11.3
2019-03-09,10,7,27,7,9,8,7.1,88,8.5,1024,81.25,11,9,4,266,176,296,0,1,5.7
2019-03-10,12,11,30,12,11,9,6.3,86,7.75,1026,92.25,12,10,8,296,266,353,0,1,5.7
2019-03-11,7,5,30,4,6,5,3.2,78,9.875,1032,60.5,7,2,0,116,353,176,0,1,5.7
2019-03-12,11,3,25,-0,8,10,1,74,9.875,1033,42.75,11,3,-0,116,116,116,0,1,10.1
2019-03-13,9,5,25,2,8,7,4.8,82,9.625,1021,64.75,9,4,0,116,353,353,0,1,8.8
2019-03-14,7,6,29,4,7,6,15.4,88,8.5,1023,97.875,8,8,2,122,296,302,0,1,5.9
2019-03-15,11,10,21,10,11,10,2.2,90,7.5,1022,94.125,11,9,8,296,266,122,0,1,6
2019-03-16,14,9,20,8,11,12,0.3,83,10,1023,57.5,14,8,7,353,176,113,0,1,8.8
2019-03-17,10,9,30,5,10,7,0.3,78,16,1019,37,10,6,6,116,116,176,0,1,8.8
2019-03-18,9,4,15,1,8,6,0.7,83,16.5,1025,66.5,9,3,2,143,122,176,0,1,6
2019-03-19,10,5,16,1,9,8,0,84,10.25,1031,15.875,11,2,2,116,116,116,0,1,11.6
2019-03-20,12,5,20,1,10,10,0,67,10,1033,6.375,13,3,2,116,116,116,0,1,11.6
2019-03-21,13,6,17,2,11,12,0,65,10,1033,11.75,15,3,3,116,116,113,0,1,11.6
2019-03-22,17,8,8,4,13,16,0,75,10,1031,2,18,7,7,113,113,116,0,1,11.6
2019-03-23,17,10,12,6,15,16,0,71,10,1030,4.5,17,8,10,116,113,113,0,1,11.6
2019-03-24,15,10,13,6,14,14,0,80,10,1027,4,15,7,9,113,116,113,0,1,11.6
2019-03-25,9,7,23,3,9,7,0.4,71,9,1029,38.25,9,5,4,116,116,176,0,1,8.9
