    nbDi  freq_nbDi  is_peak_nbDi  ...  neige(millimètre)  valeur_maximale_solaire(watt_par_mètre_carré)  indice_uv(watt_par_mètre_carré)
0    1.0        1.0           0.0  ...                0.0                                          104.8                              3.8
1    0.0        1.0           0.0  ...                0.0                                          105.2                              4.4
2    0.0        2.0           0.0  ...                0.0                                          105.6                              1.4
3    0.0        3.0           0.0  ...                0.0                                          105.9                              3.2
4    0.0        4.0           0.0  ...                0.0                                          106.3                              3.6
5    0.0        5.0           0.0  ...                0.0                                          106.7                              1.9
6    0.0        6.0           0.0  ...                0.0                                          107.0                              3.6
7    0.0        7.0           0.0  ...                0.0                                          107.4                              1.5
8    0.0        8.0           0.0  ...                0.0                                          107.7                              2.3
9    0.0        9.0           0.0  ...                0.0                                          108.1                              3.5
10   0.0       10.0           0.0  ...                0.0                                          108.4                              2.5
11   0.0       11.0           0.0  ...                0.0                                          108.7                              4.6
12   0.0       12.0           0.0  ...                0.0                                          109.1                              5.0
13   0.0       13.0           0.0  ...                0.0                                          109.4                              5.0
14   0.0       14.0           0.0  ...                0.0                                          109.7                              5.4
15   0.0       15.0           0.0  ...                0.0                                          110.0                              5.4
16   0.0       16.0           0.0  ...                0.0                                          110.3                              5.5
17   0.0       17.0           0.0  ...                0.0                                          110.6                              5.6
18   0.0       18.0           0.0  ...                0.0                                          110.9                              5.4
19   0.0       19.0           0.0  ...                0.0                                          111.2                              5.7
20   0.0       20.0           0.0  ...                0.0                                          111.5                              5.8
21   0.0       21.0           0.0  ...                0.0                                          111.7                              5.7
22   0.0       22.0           0.0  ...                0.0                                          112.0                              6.0
23   0.0       23.0           0.0  ...                0.0                                          112.3                              5.6
24   0.0       24.0           0.0  ...                0.0                                          112.5                              5.3
25   0.0       25.0           0.0  ...                0.0                                          112.8                              3.5
26   0.0       26.0           0.0  ...                0.0                                          113.0                              2.2
27   0.0       27.0           0.0  ...                0.0                                          113.3                              2.0
28   0.0       28.0           0.0  ...                0.0                                          113.5                              3.6
29   0.0       29.0           0.0  ...                0.0                                          113.7                              2.2
30   0.0       30.0           0.0  ...                0.0                                          114.0                              2.6
31   0.0       31.0           0.0  ...                0.0                                          114.2                              2.1
32   0.0       32.0           0.0  ...                0.0                                          114.4                              5.4
33   0.0       33.0           0.0  ...                0.0                                          114.6                              5.8
34   0.0       34.0           0.0  ...                0.6                                          114.8                              2.8
35   0.0       35.0           0.0  ...                0.0                                          115.0                              6.7
36   0.0       36.0           0.0  ...                0.0                                          115.2                              7.0
37   0.0       37.0           0.0  ...                0.0                                          115.4                              7.0
38   0.0       38.0           0.0  ...                0.0                                          115.6                              7.0
39   0.0       39.0           0.0  ...                0.0                                          115.8                              7.0
40   0.0       40.0           0.0  ...                0.0                                          116.0                              2.4
41   0.0       41.0           0.0  ...                0.0                                          116.2                              3.8
42   0.0       42.0           0.0  ...                0.0                                          116.3                              5.4
43   0.0       43.0           0.0  ...                0.0                                          116.5                              7.0
44   0.0       44.0           0.0  ...                0.0                                          116.6                              7.4
45   0.0       45.0           0.0  ...                0.0                                          116.8                              4.1
46   0.0       46.0           0.0  ...                0.0                                          116.9                              4.2
47   0.0       47.0           0.0  ...                0.0                                          117.1                              2.6
48   0.0       48.0           0.0  ...                0.0                                          117.2                              4.6
49   0.0       49.0           0.0  ...                0.0                                          117.4                              2.6

[50 rows x 19 columns]
