rh,max_wind_spd_ts,t_ghi,max_wind_spd,solar_rad,wind_gust_spd,max_temp_ts,min_temp_ts,clouds,max_dni,precip_gpm,wind_spd,slp,ts,max_ghi,temp,pres,dni,dewpt,snow,dhi,precip,wind_dir,max_dhi,ghi,max_temp,t_dni,max_uv,t_dhi,datetime,t_solar_rad,min_temp,max_wind_dir,snow_depth
66.9,1551916800,4204.2,19.6,159.6,19.6,1551913200,1551996000,62,852.0,3.6,13.0,1005.8,1551913200,619.1,9.7,979.3,315.8,5.0,0.0,37.4,3.6,213,104.8,175.2,13.7,7578.7,3.8,896.7,2019-03-07,3831.0,7.6,260,None
69.6,1552050000,4265.5,9.6,165.6,9.6,1552050000,1552024800,53,854.0,0.30000000000000004,7.9,1018.7,1551999600,625.3,9.2,991.8,317.9,3.3,0.0,37.6,0.30000000000000004,214,105.2,177.7,13.8,7629.6,4.4,903.3,2019-03-08,3973.3,5.6,280,None
81.5,1552129200,4326.8,12.4,47.7,12.4,1552150800,1552107600,96,855.9,6.1,10.0,1023.1,1552086000,631.3,9.3,996.1,320.0,7.0,0.0,37.9,6.1,193,105.6,180.3,12.6,7679.2,1.4,909.9,2019-03-09,1145.2,7.4,210,None
73.5,1552212000,4388.1,19.6,122.8,19.6,1552222800,1552255200,75,857.7,3.9,14.4,1019.8,1552172400,637.4,12.2,993.2,322.0,6.6,0.0,38.2,3.9,231,105.9,182.8,16.1,7727.6,3.2,916.3,2019-03-10,2947.4,9.8,290,None
65.8,1552302000,4449.4,13.6,179.2,13.6,1552316400,1552338000,31,859.6,1.8,10.5,1028.2,1552258800,643.5,4.9,1000.6,323.9,-0.30000000000000004,0.0,38.4,1.8,260,106.3,185.4,10.6,7774.8,3.6,922.6,2019-03-11,4301.4,1.2,340,None
67.1,1552428000,4510.6,15.6,86.7,15.6,1552424400,1552366800,60,861.3,2.7,9.6,1022.6,1552345200,649.5,4.6,995.1,325.9,-1.6,0.0,38.7,2.7,160,106.7,187.9,12.1,7820.7,1.9,929.1,2019-03-12,2079.7,-4.4,300,None
67.5,1552478400,4572.2,12.0,180.1,12.0,1552482000,1552456800,54,863.1,1.8,10.6,1018.3,1552431600,655.4,6.2,991.0,327.8,2.2,0.0,39.1,1.8,231,107.0,190.5,11.3,7867.7,3.6,938.3,2019-03-13,4323.6,3.7,270,None
81.5,1552564800,4634.4,16.4,45.4,16.4,1552600800,1552525200,98,864.8,14.9,11.9,1017.6,1552518000,661.4,6.9,990.5,330.1,4.9,0.0,39.5,14.9,222,107.4,193.1,11.0,7921.8,1.5,947.3,2019-03-14,1090.2,4.1,290,None
83.6,1552658400,4696.9,14.8,85.5,14.8,1552658400,1552615200,90,866.5,3.8,11.9,1018.7,1552604400,667.3,11.1,992.0,332.6,8.5,0.0,39.8,3.8,220,107.7,195.7,13.3,7981.5,2.3,956.0,2019-03-15,2052.5,8.8,290,None
77.5,1552744800,4759.8,11.2,166.7,11.2,1552752000,1552773600,62,868.1,0.0,9.7,1018.0,1552690800,673.2,10.8,991.3,335.2,6.6,0.0,40.2,0.0,207,108.1,198.3,15.6,8043.8,3.5,964.4,2019-03-16,4002.0,9.2,240,None
66.0,1552824000,4822.9,13.6,112.9,13.6,1552816800,1552856400,77,869.7,2.8,10.0,1012.6,1552777200,679.0,7.9,985.7,337.8,3.3,0.0,40.5,2.8,220,108.4,201.0,12.2,8106.6,2.5,972.6,2019-03-17,2709.5,5.6,310,None
72.2,1552924800,4886.1,8.0,156.6,8.0,1552914000,1552946400,61,871.3,1.8,5.4,1022.5,1552863600,684.8,5.3,995.2,340.4,2.0,0.0,40.9,1.8,209,108.7,203.6,9.1,8169.1,4.6,980.5,2019-03-18,3757.5,1.6,310,None
69.5,1553007600,4949.4,8.0,203.0,8.0,1553004000,1552971600,18,872.8,0.0,5.3,1027.8,1552950000,690.5,5.9,1000.4,342.9,0.2,0.0,41.2,0.0,173,109.1,206.2,11.4,8230.4,5.0,988.2,2019-03-19,4872.5,-0.8,360,None
57.4,1553090400,5012.6,9.2,199.7,9.2,1553094000,1553058000,13,874.3,0.0,7.3,1032.6,1553036400,696.2,7.1,1005.2,345.4,-2.1,0.0,41.5,0.0,143,109.4,208.9,13.8,8290.4,5.0,995.7,2019-03-20,4791.8,-0.7000000000000001,360,None
56.5,1553173200,5075.8,8.8,211.4,8.8,1553176800,1553148000,3,875.8,0.0,7.2,1031.2,1553122800,701.8,8.7,1003.9,347.9,-2.3,0.0,41.8,0.0,157,109.7,211.5,15.0,8348.7,5.4,1003.0,2019-03-21,5073.6,2.4,360,None
63.1,1553266800,5138.8,4.8,214.1,4.8,1553263200,1553234400,1,877.2,0.0,2.2,1029.5,1553209200,707.5,9.1,1002.3,350.2,0.7000000000000001,0.0,42.1,0.0,218,110.0,214.1,18.7,8405.3,5.4,1010.2,2019-03-22,5138.8,-0.8,350,None
65.0,1553378400,5201.7,8.4,216.7,8.4,1553353200,1553313600,16,878.6,0.0,4.4,1027.8,1553295600,713.0,10.9,1000.8,352.5,2.0,0.0,42.4,0.0,163,110.3,216.7,19.8,8460.2,5.5,1017.2,2019-03-23,5201.8,1.1,360,None
71.5,1553439600,5264.5,8.0,216.6,8.0,1553436000,1553407200,35,879.9,0.0,5.3,1025.3,1553382000,718.5,10.1,998.3,354.7,3.9,0.0,42.7,0.0,275,110.6,219.4,18.3,8513.4,5.6,1024.0,2019-03-24,5199.3,2.7,350,None
